"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"akron-zips-western-michigan-broncos-201503110640","20150311","away","akron-zips","Mid-American", 56,58,104.03, 80.71,0.38,0.41,0.71,5,29,3,7,20,"western-michigan-broncos","Mid-American", 59,45, 75.70, 97.56,0.26,0.14,0.65,10,21,7,3,18
"alcorn-state-braves-texas-southern-tigers-201503110591","20150311","home","texas-southern-tigers","Southwestern Athletic", 75,95,127.15, 99.05,0.57,0.70,0.67,11,28,9,4,16,"alcorn-state-braves","Southwestern Athletic", 80,74, 92.20,118.37,0.41,0.38,0.56,8,19,7,5,22
"american-university-eagles-lafayette-leopards-201503110298","20150311","home","lafayette-leopards","Patriot League", 55,65,118.32,114.68,0.65,0.53,0.82,3,19,4,2,10,"american-university-eagles","Patriot League", 55,63,113.54,117.14,0.49,0.56,0.62,6,10,9,0,13
"auburn-tigers-mississippi-state-bulldogs-201503110366","20150311","away","auburn-tigers","Southeastern", 69,74,106.84, 98.18,0.46,0.53,0.65,9,21,5,3,18,"mississippi-state-bulldogs","Southeastern", 68,68, 99.73,108.53,0.50,0.08,0.79,5,21,8,4,24
"boston-college-eagles-north-carolina-tar-heels-201503110413","20150311","home","north-carolina-tar-heels","Atlantic Coast", 66,81,123.00, 95.66,0.49,0.42,0.75,12,30,3,5,17,"boston-college-eagles","Atlantic Coast", 65,63, 97.29,125.09,0.38,0.29,0.77,3,19,4,2,16
"charlotte-49ers-middle-tennessee-blue-raiders-201503110359","20150311","home","middle-tennessee-blue-raiders","Conference USA", 58,63,109.06,103.86,0.36,0.38,0.54,17,12,11,2,15,"charlotte-49ers","Conference USA", 59,60,101.54,106.62,0.51,0.29,0.89,7,29,1,5,13
"colorado-buffaloes-oregon-state-beavers-201503110450","20150311","away","colorado-buffaloes","Pac-12", 67,78,117.16,106.65,0.50,0.38,0.92,9,28,3,3,19,"oregon-state-beavers","Pac-12", 63,71,113.00,124.14,0.41,0.39,0.64,11,12,11,2,19
"coppin-state-eagles-north-carolina-central-eagles-201503110907","20150311","home","north-carolina-central-eagles","Mid-Eastern", 71,91,127.49, 60.24,0.57,0.50,0.73,7,27,9,1,16,"coppin-state-eagles","Mid-Eastern", 69,43, 62.43,132.11,0.30,0.35,0.60,4,16,4,3,20
"creighton-bluejays-depaul-blue-demons-201503110164","20150311","away","creighton-bluejays","Big East", 58,78,134.85,108.92,0.48,0.41,0.70,11,22,6,2,16,"depaul-blue-demons","Big East", 60,63,104.83,129.79,0.44,0.32,0.50,11,15,3,2,22
"eastern-michigan-eagles-bowling-green-falcons-201503110061","20150311","away","eastern-michigan-eagles","Mid-American", 62,73,117.03,107.41,0.39,0.41,0.76,13,16,7,1,14,"bowling-green-falcons","Mid-American", 61,67,110.47,120.37,0.53,0.46,0.85,5,20,4,3,21
