"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"albany-great-danes-njit-highlanders-201502131186","20150213","away","albany-great-danes","America East", 59,65,109.25, 99.17,0.46,0.33,0.71,7,26,4,2,14,"njit-highlanders","Independents", 59,59, 99.69,109.83,0.37,0.31,0.71,8,20,4,4,17
"arizona-state-sun-devils-washington-state-cougars-201502130632","20150213","home","washington-state-cougars","Pac-12", 68,74,108.61,104.20,0.52,0.29,0.62,2,25,5,4,15,"arizona-state-sun-devils","Pac-12", 72,71, 99.14,103.33,0.44,0.24,0.62,11,28,4,1,17
"arizona-wildcats-washington-huskies-201502130630","20150213","away","arizona-wildcats","Pac-12", 68,86,125.55, 90.52,0.53,0.31,0.77,8,28,9,5,18,"washington-huskies","Pac-12", 67,62, 92.29,128.02,0.35,0.30,0.86,6,21,3,3,20
"brown-bears-princeton-tigers-201502130471","20150213","home","princeton-tigers","Ivy League", 67,75,111.29, 94.97,0.53,0.21,0.56,3,38,1,10,24,"brown-bears","Ivy League", 65,64, 98.22,115.10,0.35,0.22,0.56,14,26,3,4,23
"cleveland-state-vikings-detroit-titans-201502130165","20150213","home","detroit-titans","Horizon League", 64,66,102.96,101.40,0.42,0.43,0.52,9,21,10,1,23,"cleveland-state-vikings","Horizon League", 62,65,104.29,105.89,0.40,0.36,0.65,12,22,6,6,24
"columbia-lions-harvard-crimson-201502130245","20150213","home","harvard-crimson","Ivy League", 58,72,123.86,116.98,0.45,0.53,0.89,7,19,6,6,11,"columbia-lions","Ivy League", 57,68,119.40,126.42,0.53,0.50,0.86,4,19,1,3,17
"cornell-big-red-dartmouth-big-green-201502130155","20150213","away","cornell-big-red","Ivy League", 66,81,123.45,109.73,0.54,0.50,0.65,9,22,8,2,18,"dartmouth-big-green","Ivy League", 66,72,109.65,123.36,0.44,0.33,0.67,11,18,6,2,21
"green-bay-phoenix-valparaiso-crusaders-201502130614","20150213","home","valparaiso-crusaders","Horizon League", 69,63, 91.50, 85.69,0.37,0.57,0.68,11,27,4,6,22,"green-bay-phoenix","Horizon League", 65,59, 90.68, 96.83,0.33,0.33,0.69,10,16,9,11,23
"incarnate-word-cardinals-central-arkansas-bears-201502131262","20150213","away","incarnate-word-cardinals","Southland", 60,77,127.47,110.91,0.50,0.31,0.78,7,25,7,3,15,"central-arkansas-bears","Southland", 63,67,106.47,122.36,0.40,0.38,0.83,7,24,3,4,21
"iona-gaels-manhattan-jaspers-201502130335","20150213","away","iona-gaels","Metro Atlantic Athletic", 67,70,104.77,100.28,0.52,0.61,0.69,5,22,7,7,16,"manhattan-jaspers","Metro Atlantic Athletic", 71,67, 94.76, 99.00,0.40,0.25,0.86,7,18,9,3,18
"kent-state-golden-flashes-toledo-rockets-201502130594","20150213","away","kent-state-golden-flashes","Mid-American", 67,76,113.38,111.89,0.42,0.38,0.56,10,27,5,6,24,"toledo-rockets","Mid-American", 68,75,110.54,112.02,0.38,0.29,0.73,15,26,4,6,21
"quinnipiac-bobcats-fairfield-stags-201502130201","20150213","away","quinnipiac-bobcats","Metro Atlantic Athletic", 62,60, 97.05, 95.43,0.35,0.33,0.67,16,22,6,1,16,"fairfield-stags","Metro Atlantic Athletic", 62,59, 94.99, 96.60,0.39,0.30,0.83,8,21,6,2,17
"rider-broncs-canisius-golden-griffins-201502130097","20150213","away","rider-broncs","Metro Atlantic Athletic", 58,60,103.05,101.33,0.50,0.53,0.64,4,18,5,0,13,"canisius-golden-griffins","Metro Atlantic Athletic", 57,59,103.86,105.62,0.48,0.29,0.77,5,16,9,0,14
"saint-peters-peacocks-niagara-purple-eagles-201502130408","20150213","away","saint-peters-peacocks","Metro Atlantic Athletic", 60,77,128.95,108.86,0.54,0.18,0.78,7,21,8,1,17,"niagara-purple-eagles","Metro Atlantic Athletic", 59,65,109.43,129.63,0.42,0.37,0.72,10,13,4,0,21
"yale-bulldogs-penn-quakers-201502130460","20150213","away","yale-bulldogs","Ivy League", 54,75,137.67, 88.11,0.54,0.55,0.90,8,17,7,5,15,"penn-quakers","Ivy League", 57,48, 84.57,132.14,0.36,0.31,0.73,6,14,5,3,17
