"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"ball-state-cardinals-bowling-green-falcons-201503090061","20150309","home","bowling-green-falcons","Mid-American", 61,88,143.62,122.41,0.55,0.50,0.85,7,21,5,2,17,"ball-state-cardinals","Mid-American", 61,75,122.12,143.29,0.50,0.36,0.71,5,16,6,2,24
"manhattan-jaspers-iona-gaels-201503090275","20150309","away","manhattan-jaspers","Metro Atlantic Athletic", 67,79,117.06,102.24,0.43,0.41,0.64,11,28,5,2,22,"iona-gaels","Metro Atlantic Athletic", 69,69,100.67,115.25,0.39,0.23,0.75,8,25,2,4,24
"miami-oh-redhawks-eastern-michigan-eagles-201503090181","20150309","home","eastern-michigan-eagles","Mid-American", 62,62, 99.24, 97.64,0.40,0.21,0.59,12,21,7,1,12,"miami-oh-redhawks","Mid-American", 63,61, 97.57, 99.17,0.41,0.44,0.80,6,28,5,1,16
"morgan-state-bears-hampton-pirates-201503090702","20150309","home","hampton-pirates","Mid-Eastern", 77,91,118.34, 92.33,0.56,0.50,0.72,9,26,9,3,23,"morgan-state-bears","Mid-Eastern", 76,71, 94.00,120.49,0.41,0.30,0.61,12,19,1,2,30
"northeastern-huskies-william-and-mary-tribe-201503090658","20150309","away","northeastern-huskies","Colonial Athletic", 57,72,125.63,106.43,0.59,0.60,0.67,4,24,5,4,9,"william-and-mary-tribe","Colonial Athletic", 59,61,103.61,122.30,0.38,0.40,0.71,10,17,7,0,14
"northern-illinois-huskies-akron-zips-201503090003","20150309","home","akron-zips","Mid-American", 63,76,121.56, 83.17,0.51,0.47,0.67,9,19,5,5,14,"northern-illinois-huskies","Mid-American", 60,52, 86.53,126.46,0.39,0.20,0.56,10,14,8,3,13
"ohio-bobcats-western-michigan-broncos-201503090640","20150309","home","western-michigan-broncos","Mid-American", 67,82,122.33,110.40,0.42,0.44,0.81,6,29,6,3,16,"ohio-bobcats","Mid-American", 69,74,107.81,119.46,0.45,0.27,0.75,7,26,5,3,21
"oral-roberts-golden-eagles-north-dakota-state-bison-201503091455","20150309","home","north-dakota-state-bison","Summit", 60,60,100.68, 93.97,0.47,0.25,0.65,4,27,4,5,14,"oral-roberts-golden-eagles","Southland", 60,56, 93.26, 99.92,0.38,0.20,0.78,4,22,2,1,16
"pepperdine-waves-gonzaga-bulldogs-201503090233","20150309","home","gonzaga-bulldogs","West Coast", 62,79,126.55, 97.72,0.53,0.47,0.47,13,23,8,3,18,"pepperdine-waves","West Coast", 61,61, 99.75,129.19,0.43,0.27,0.58,11,18,4,3,16
"portland-pilots-byu-cougars-201503090068","20150309","home","byu-cougars","West Coast", 68,84,123.02,102.52,0.55,0.48,0.80,9,19,8,2,21,"portland-pilots","West Coast", 66,70,106.68,128.02,0.45,0.18,0.85,8,15,11,2,16
"savannah-state-tigers-delaware-state-hornets-201503090160","20150309","home","delaware-state-hornets","Mid-Eastern", 58,64,110.19, 99.86,0.52,0.36,0.55,7,23,5,4,7,"savannah-state-tigers","Mid-Eastern", 60,58, 97.45,107.53,0.41,0.22,0.00,12,22,6,1,19
"south-dakota-coyotes-south-dakota-state-jackrabbits-201503091472","20150309","home","south-dakota-state-jackrabbits","Summit", 69,78,112.46, 93.71,0.48,0.42,0.70,5,30,5,3,25,"south-dakota-coyotes","Summit", 70,65, 93.23,111.88,0.37,0.21,0.60,10,23,8,0,23
