"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"abilene-christian-wildcats-uc-riverside-highlanders-201411291240","20141129","home","uc-riverside-highlanders","Big West", 62,76,121.75, 89.71,0.48,0.50,0.63,17,27,8,5,14,"abilene-christian-wildcats","Southland", 63,56, 89.50,121.47,0.36,0.44,0.85,6,13,10,3,15
"alabama-am-bulldogs-southeast-missouri-state-redhawks-201411290509","20141129","home","southeast-missouri-state-redhawks","Ohio Valley", 73,85,116.73, 70.04,0.42,0.35,0.61,16,30,8,5,27,"alabama-am-bulldogs","Southwestern Athletic", 71,51, 71.33,118.89,0.31,0.08,0.49,12,22,4,5,29
"alabama-state-hornets-utah-runnin-utes-201411290610","20141129","home","utah-runnin-utes","Pac-12", 70,93,132.34, 88.23,0.53,0.43,0.59,10,25,8,6,17,"alabama-state-hornets","Southwestern Athletic", 70,62, 87.99,131.98,0.35,0.50,0.71,9,24,4,6,28
"albany-great-danes-unlv-runnin-rebels-201411290401","20141129","home","unlv-runnin-rebels","Mountain West", 67,75,111.49, 87.70,0.53,0.43,0.71,4,29,7,8,18,"albany-great-danes","America East", 68,59, 87.05,110.66,0.37,0.29,0.62,7,21,3,0,15
"american-university-eagles-columbia-lions-201411290127","20141129","home","columbia-lions","Ivy League", 54,52, 97.16, 80.34,0.44,0.19,0.60,6,28,6,3,13,"american-university-eagles","Patriot League", 57,43, 74.84, 90.50,0.36,0.33,0.67,3,21,8,3,13
"belmont-bruins-ohio-bobcats-201411290442","20141129","away","belmont-bruins","Ohio Valley", 70,83,119.17,116.30,0.51,0.47,0.61,1,26,0,0,16,"ohio-bobcats","Mid-American", 68,81,119.26,122.20,0.49,0.32,0.60,7,29,3,4,20
"bradley-braves-saint-louis-billikens-201411290536","20141129","home","saint-louis-billikens","Atlantic Ten", 61,60, 98.19, 93.28,0.49,0.32,0.57,2,16,5,2,19,"bradley-braves","Missouri Valley", 58,57, 97.98,103.14,0.41,0.38,0.62,12,22,4,1,18
"buffalo-bulls-canisius-golden-griffins-201411290097","20141129","away","buffalo-bulls","Mid-American", 66,72,108.42, 85.83,0.48,0.28,0.69,10,29,9,7,16,"canisius-golden-griffins","Metro Atlantic Athletic", 72,57, 79.48,100.40,0.32,0.24,0.75,11,23,7,2,13
"cal-poly-mustangs-saint-marys-gaels-201411290538","20141129","home","saint-marys-gaels","West Coast", 63,82,129.17, 88.22,0.48,0.52,0.73,10,33,2,1,17,"cal-poly-mustangs","Big West", 64,56, 87.03,127.44,0.34,0.25,0.74,5,21,4,1,19
"central-arkansas-bears-ualr-trojans-201411290020","20141129","home","ualr-trojans","Sun Belt", 67,85,126.71,105.84,0.55,0.29,0.84,6,21,9,3,15,"central-arkansas-bears","Southland", 67,71,105.32,126.08,0.47,0.44,0.73,5,19,5,2,21
