"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"abilene-christian-wildcats-uapb-golden-lions-201412230035","20141223","away","abilene-christian-wildcats","Southland", 63,69,109.57, 96.86,0.53,0.50,0.69,5,22,7,2,21,"uapb-golden-lions","Southwestern Athletic", 63,61, 97.01,109.73,0.38,0.26,0.80,11,18,3,2,19
"american-university-eagles-stony-brook-seawolves-201412230569","20141223","home","stony-brook-seawolves","America East", 49,59,120.45, 95.95,0.45,0.36,0.58,12,17,2,5,9,"american-university-eagles","Patriot League", 46,47,101.10,126.91,0.45,0.37,0.67,2,16,3,5,17
"arizona-wildcats-unlv-runnin-rebels-201412230401","20141223","home","unlv-runnin-rebels","Mountain West", 70,71,100.76, 95.08,0.44,0.31,0.62,12,27,8,5,20,"arizona-wildcats","Pac-12", 72,67, 93.27, 98.84,0.43,0.33,0.59,7,26,8,3,20
"arkansas-state-red-wolves-niagara-purple-eagles-201412230408","20141223","away","arkansas-state-red-wolves","Sun Belt", 65,74,113.40,105.74,0.47,0.41,0.71,7,22,4,2,16,"niagara-purple-eagles","Metro Atlantic Athletic", 66,69,104.13,111.67,0.45,0.22,0.53,9,21,2,1,18
"boise-state-broncos-loyola-chicago-ramblers-201412230316","20141223","home","loyola-chicago-ramblers","Missouri Valley", 53,48, 91.24, 85.54,0.42,0.23,0.88,6,28,0,2,8,"boise-state-broncos","Mountain West", 55,45, 81.84, 87.30,0.30,0.20,0.78,8,18,6,0,11
"cal-poly-mustangs-santa-clara-broncos-201412230502","20141223","away","cal-poly-mustangs","Big West", 58,69,119.54,100.49,0.48,0.53,0.73,12,23,7,6,15,"santa-clara-broncos","West Coast", 55,58,104.89,124.78,0.37,0.31,0.75,11,15,5,0,16
"coppin-state-eagles-eastern-michigan-eagles-201412230181","20141223","home","eastern-michigan-eagles","Mid-American", 73,87,118.85, 87.43,0.45,0.33,0.73,15,28,11,10,19,"coppin-state-eagles","Mid-Eastern", 78,64, 82.28,111.85,0.29,0.26,0.58,19,24,10,7,22
"cornell-big-red-siena-saints-201412230512","20141223","away","cornell-big-red","Ivy League", 69,75,108.06, 82.12,0.47,0.36,0.89,4,31,5,4,21,"siena-saints","Metro Atlantic Athletic", 67,57, 85.68,112.73,0.31,0.25,0.71,6,23,5,3,18
"csun-matadors-louisville-cardinals-201412230314","20141223","home","louisville-cardinals","American Athletic", 69,80,115.70, 79.54,0.47,0.41,0.79,8,28,14,11,18,"csun-matadors","Big West", 72,55, 75.88,110.38,0.33,0.00,0.85,11,24,6,1,19
"detroit-titans-arizona-state-sun-devils-201412230018","20141223","home","arizona-state-sun-devils","Pac-12", 76,93,121.74, 70.69,0.57,0.35,0.68,9,30,9,1,22,"detroit-titans","Horizon League", 74,54, 72.58,125.00,0.30,0.24,0.65,12,20,7,3,28
"eastern-illinois-panthers-cleveland-state-vikings-201412230121","20141223","away","eastern-illinois-panthers","Ohio Valley", 62,67,108.29,105.06,0.43,0.32,0.64,6,19,8,1,14,"cleveland-state-vikings","Horizon League", 59,65,110.59,113.99,0.48,0.56,0.64,6,23,5,3,18
"fairleigh-dickinson-knights-saint-peters-peacocks-201412230543","20141223","home","saint-peters-peacocks","Metro Atlantic Athletic", 66,69,105.23, 91.51,0.41,0.33,0.61,15,23,12,4,15,"fairleigh-dickinson-knights","Northeast", 68,60, 87.81,100.98,0.45,0.33,0.69,5,22,6,1,22
"fgcu-eagles-iona-gaels-201412230275","20141223","home","iona-gaels","Metro Atlantic Athletic", 64,86,133.41,103.93,0.51,0.40,0.65,9,27,6,5,17,"fgcu-eagles","Atlantic Sun", 65,67,102.45,131.50,0.47,0.50,0.47,7,20,3,3,25
"george-mason-patriots-wright-state-raiders-201412230660","20141223","away","george-mason-patriots","Atlantic Ten", 61,68,112.30, 99.09,0.52,0.31,0.71,10,27,4,1,14,"wright-state-raiders","Horizon League", 61,60, 98.35,111.46,0.41,0.17,0.72,8,12,7,0,16
