"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"alabama-crimson-tide-iowa-state-cyclones-201411240277","20141124","home","iowa-state-cyclones","Big 12", 70,84,119.90,105.63,0.58,0.43,0.81,2,30,4,5,16,"alabama-crimson-tide","Southeastern", 76,74, 97.36,110.51,0.39,0.33,0.77,6,20,7,0,20
"arizona-state-sun-devils-maryland-terrapins-201411240343","20141124","home","maryland-terrapins","Atlantic Coast", 65,78,120.28,112.57,0.47,0.46,0.89,10,18,8,5,14,"arizona-state-sun-devils","Pac-12", 63,73,115.83,123.76,0.50,0.52,0.64,4,18,4,3,20
"austin-peay-governors-indiana-state-sycamores-201411240274","20141124","home","indiana-state-sycamores","Missouri Valley", 65,61, 94.03, 87.87,0.39,0.19,0.70,9,28,5,3,18,"austin-peay-governors","Ohio Valley", 67,57, 85.25, 91.23,0.35,0.40,0.64,12,23,8,4,25
"brown-bears-illinois-fighting-illini-201411240267","20141124","home","illinois-fighting-illini","Big Ten", 66,89,135.74,103.71,0.48,0.38,0.75,14,21,7,6,21,"brown-bears","Ivy League", 67,68,101.99,133.49,0.41,0.29,0.68,11,20,2,2,18
"bucknell-bison-toledo-rockets-201411240594","20141124","home","toledo-rockets","Mid-American", 67,92,137.44, 97.11,0.52,0.50,0.77,12,27,4,5,13,"bucknell-bison","Patriot League", 66,65, 98.56,139.50,0.40,0.35,0.67,8,18,1,1,21
"byu-cougars-san-diego-state-aztecs-201411240498","20141124","home","san-diego-state-aztecs","Mountain West", 79,92,115.85,109.55,0.48,0.33,0.61,13,30,6,9,17,"byu-cougars","West Coast", 83,87,104.83,110.85,0.38,0.43,0.64,12,20,6,4,24
"clemson-tigers-lsu-tigers-201411240319","20141124","away","clemson-tigers","Atlantic Coast", 65,64, 97.86, 93.27,0.42,0.35,0.67,11,19,3,3,14,"lsu-tigers","Southeastern", 64,61, 95.55,100.25,0.38,0.08,0.70,17,20,7,2,13
"colgate-raiders-james-madison-dukes-201411240282","20141124","home","james-madison-dukes","Colonial Athletic", 62,77,123.30,113.69,0.52,0.55,0.66,5,23,4,3,14,"colgate-raiders","Patriot League", 60,71,119.24,129.32,0.46,0.39,0.84,5,20,5,3,25
"east-tennessee-state-buccaneers-winthrop-eagles-201411240649","20141124","away","east-tennessee-state-buccaneers","Southern", 68,69,102.17, 94.76,0.31,0.38,0.73,14,25,6,1,20,"winthrop-eagles","Big South", 64,64, 99.32,107.08,0.39,0.29,0.73,10,26,5,5,20
"eastern-washington-eagles-indiana-hoosiers-201411240271","20141124","away","eastern-washington-eagles","Big Sky", 73,88,120.89,118.14,0.52,0.38,0.67,13,21,9,5,24,"indiana-hoosiers","Big Ten", 73,86,118.22,120.97,0.47,0.39,0.79,10,20,6,2,22
"fgcu-eagles-marist-red-foxes-201411240338","20141124","away","fgcu-eagles","Atlantic Sun", 68,58, 84.94, 62.98,0.42,0.29,0.67,5,30,11,5,16,"marist-red-foxes","Metro Atlantic Athletic", 68,43, 63.35, 85.45,0.32,0.19,0.50,1,26,10,2,15
"fiu-golden-panthers-georgia-southern-eagles-201411240226","20141124","home","georgia-southern-eagles","Southern", 73,78,106.24, 98.07,0.38,0.29,0.76,13,29,8,1,18,"fiu-golden-panthers","Conference USA", 73,72, 98.17,106.35,0.44,0.24,0.62,8,23,9,2,28
"florida-am-rattlers-wyoming-cowboys-201411240661","20141124","home","wyoming-cowboys","Mountain West", 55,66,119.25, 81.31,0.53,0.33,0.64,9,24,3,2,9,"florida-am-rattlers","Mid-Eastern", 56,45, 80.37,117.87,0.37,0.45,0.57,3,16,7,2,14
"fresno-state-bulldogs-evansville-aces-201411240193","20141124","home","evansville-aces","Missouri Valley", 60,58, 96.09, 86.15,0.38,0.28,0.68,6,19,4,2,17,"fresno-state-bulldogs","Mountain West", 59,52, 87.86, 98.00,0.40,0.29,0.64,6,23,6,6,24
"gardner-webb-runnin-bulldogs-old-dominion-monarchs-201411240447","20141124","home","old-dominion-monarchs","Conference USAConference USA", 60,58, 96.59, 76.61,0.39,0.29,0.67,6,27,4,4,15,"gardner-webb-runnin-bulldogs","Big South", 63,46, 72.46, 91.37,0.29,0.25,0.53,9,27,2,2,18
"georgia-state-panthers-chicago-state-cougars-201411240112","20141124","away","georgia-state-panthers","Sun Belt", 64,69,107.80, 71.87,0.49,0.38,0.73,3,23,13,5,20,"chicago-state-cougars","Western Athletic", 66,46, 69.90,104.85,0.29,0.24,0.72,10,20,6,0,25
"grambling-state-tigers-ball-state-cardinals-201411240046","20141124","home","ball-state-cardinals","Mid-American", 63,88,138.94, 72.63,0.55,0.50,0.67,9,24,9,0,15,"grambling-state-tigers","Southwestern Athletic", 63,46, 72.93,139.52,0.43,0.12,0.42,4,17,5,0,18
"green-bay-phoenix-east-carolina-pirates-201411240178","20141124","away","green-bay-phoenix","Horizon League", 57,66,116.28, 86.33,0.55,0.25,0.67,10,20,7,5,23,"east-carolina-pirates","Conference USA", 58,49, 83.85,112.94,0.32,0.22,0.60,9,11,7,0,15
"hampton-pirates-appalachian-state-mountaineers-201411240016","20141124","home","appalachian-state-mountaineers","Southern", 73,82,112.32,101.36,0.44,0.36,0.82,6,27,6,3,27,"hampton-pirates","Mid-Eastern", 71,74,103.96,115.19,0.40,0.33,0.71,9,23,5,4,28
"jacksonville-dolphins-ipfw-mastodons-201411240932","20141124","home","ipfw-mastodons","Summit", 74,89,120.52, 96.14,0.53,0.40,0.74,7,30,5,2,24,"jacksonville-dolphins","Atlantic Sun", 74,71, 96.21,120.60,0.38,0.09,0.80,13,20,8,0,21
"lipscomb-bisons-belmont-bruins-201411240047","20141124","home","belmont-bruins","Ohio Valley", 70,82,116.77,109.65,0.56,0.50,0.50,7,25,10,2,24,"lipscomb-bisons","Atlantic Sun", 73,77,105.64,112.50,0.44,0.39,0.70,9,20,3,0,29
"louisiana-lafayette-ragin-cajuns-milwaukee-panthers-201411240654","20141124","home","milwaukee-panthers","Horizon League", 66,56, 84.69, 78.64,0.37,0.24,0.80,8,27,6,4,18,"louisiana-lafayette-ragin-cajuns","Sun Belt", 66,52, 78.36, 84.39,0.33,0.27,0.87,8,19,9,2,22
"maryland-eastern-shore-hawks-detroit-titans-201411240165","20141124","home","detroit-titans","Horizon League", 62,69,111.05, 88.52,0.40,0.18,0.77,11,18,11,1,18,"maryland-eastern-shore-hawks","Mid-Eastern", 61,55, 90.08,113.01,0.40,0.24,0.62,13,18,2,3,28
"michigan-wolverines-oregon-ducks-201411240449","20141124","away","michigan-wolverines","Big Ten", 57,70,121.99,109.79,0.46,0.38,0.79,6,18,3,3,16,"oregon-ducks","Pac-12", 62,63,101.67,112.96,0.39,0.26,0.67,15,21,3,2,24
"mississippi-valley-state-delta-devils-tcu-horned-frogs-201411240576","20141124","home","tcu-horned-frogs","Big 12", 72,106,146.44, 73.22,0.61,0.52,0.58,15,36,4,12,21,"mississippi-valley-state-delta-devils","Southwestern Athletic", 73,53, 72.26,144.52,0.27,0.50,0.62,8,16,8,2,18
"missouri-tigers-arizona-wildcats-201411240017","20141124","home","arizona-wildcats","Pac-12", 61,72,117.42, 86.43,0.45,0.31,0.76,7,24,10,1,25,"missouri-tigers","Southeastern", 64,53, 83.21,113.04,0.36,0.23,0.69,7,26,2,2,20
"murray-state-racers-xavier-musketeers-201411240682","20141124","home","xavier-musketeers","Big East", 69,89,129.57, 90.26,0.48,0.30,0.61,25,29,8,4,11,"murray-state-racers","Ohio Valley", 69,62, 89.48,128.45,0.40,0.24,0.62,9,14,9,5,15
"nevada-wolf-pack-weber-state-wildcats-201411240633","20141124","home","weber-state-wildcats","Big Sky", 63,59, 93.08, 88.35,0.40,0.38,0.79,3,17,4,6,17,"nevada-wolf-pack","Mountain West", 62,56, 89.64, 94.44,0.36,0.18,0.82,15,19,5,7,20
"nicholls-colonels-wake-forest-demon-deacons-201411240628","20141124","home","wake-forest-demon-deacons","Atlantic Coast", 68,75,109.88, 70.32,0.43,0.29,0.78,12,28,7,6,20,"nicholls-colonels","Southland", 66,48, 72.44,113.18,0.40,0.17,0.53,3,17,12,4,24
"njit-highlanders-marquette-golden-eagles-201411240339","20141124","home","marquette-golden-eagles","Big East", 63,62, 99.13, 91.14,0.35,0.30,0.68,14,19,9,1,18,"njit-highlanders","Independents", 58,57, 98.92,107.59,0.37,0.27,0.79,17,19,5,6,27
"oregon-state-beavers-oklahoma-state-cowboys-201411240446","20141124","home","oklahoma-state-cowboys","Big 12", 58,66,113.03, 90.77,0.49,0.33,0.63,8,22,12,3,21,"oregon-state-beavers","Pac-12", 60,53, 87.88,109.43,0.33,0.35,0.70,9,17,9,0,22
"pepperdine-waves-iowa-hawkeyes-201411240276","20141124","home","iowa-hawkeyes","Big Ten", 70,72,102.25, 86.63,0.41,0.36,0.65,12,23,12,2,19,"pepperdine-waves","West Coast", 69,61, 87.83,103.66,0.37,0.26,0.62,9,26,5,0,19
"prairie-view-am-panthers-memphis-tigers-201411240349","20141124","home","memphis-tigers","American Athletic", 64,77,121.16, 77.10,0.50,0.33,0.75,12,26,6,11,10,"prairie-view-am-panthers","Southwestern Athletic", 64,49, 76.47,120.16,0.34,0.17,0.60,6,14,9,2,23
"purdue-boilermakers-kansas-state-wildcats-201411240288","20141124","home","kansas-state-wildcats","Big 12", 68,88,128.56,115.42,0.53,0.39,0.61,10,18,9,2,18,"purdue-boilermakers","Big Ten", 65,79,121.91,135.80,0.55,0.41,0.70,5,18,3,5,20
"rider-broncs-kansas-jayhawks-201411240287","20141124","home","kansas-jayhawks","Big 12", 61,87,141.88, 97.85,0.60,0.35,0.76,9,24,6,6,18,"rider-broncs","Metro Atlantic Athletic", 61,60, 98.93,143.45,0.40,0.29,0.46,13,16,6,2,19
"san-francisco-dons-hawaii-rainbow-warriors-201411240246","20141124","away","san-francisco-dons","West Coast", 75,88,116.59, 96.71,0.48,0.45,0.60,13,27,7,5,26,"hawaii-rainbow-warriors","Big West", 80,73, 91.34,110.11,0.37,0.33,0.73,6,20,6,3,29
"santa-clara-broncos-michigan-state-spartans-201411240358","20141124","home","michigan-state-spartans","Big Ten", 64,79,122.69, 80.76,0.44,0.40,0.53,19,31,4,10,15,"santa-clara-broncos","West Coast", 70,52, 74.51,113.19,0.29,0.23,0.92,8,20,6,3,18
"savannah-state-tigers-louisville-cardinals-201411240314","20141124","home","louisville-cardinals","American Athletic", 72,87,120.43, 35.99,0.53,0.40,0.57,15,38,16,8,16,"savannah-state-tigers","Mid-Eastern", 71,26, 36.75,122.96,0.20,0.00,0.50,7,19,11,4,22
"siue-cougars-portland-state-vikings-201411241033","20141124","home","portland-state-vikings","Big Sky", 70,90,127.99,123.72,0.50,0.50,0.77,11,19,7,1,20,"siue-cougars","Ohio Valley", 70,87,124.19,128.47,0.54,0.40,0.62,11,16,6,3,22
"southeastern-louisiana-lions-tennessee-tech-golden-eagles-201411240583","20141124","home","tennessee-tech-golden-eagles","Ohio Valley", 67,81,121.32, 92.86,0.54,0.40,0.72,10,25,3,6,16,"southeastern-louisiana-lions","Southland", 68,62, 90.87,118.71,0.40,0.11,0.82,7,15,9,3,20
