"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"abilene-christian-wildcats-incarnate-word-cardinals-201503051528","20150305","home","incarnate-word-cardinals","Southland", 62,64,102.45, 83.24,0.49,0.23,0.76,5,32,2,2,13,"abilene-christian-wildcats","Southland", 64,52, 81.21, 99.95,0.31,0.20,0.92,7,21,5,0,19
"alabama-am-bulldogs-jackson-state-tigers-201503050280","20150305","home","jackson-state-tigers","Southwestern Athletic", 60,72,120.00, 90.00,0.50,0.29,0.60,16,27,5,5,17,"alabama-am-bulldogs","Southwestern Athletic", 61,54, 89.18,118.91,0.29,0.33,0.88,9,13,5,1,20
"alabama-state-hornets-grambling-state-tigers-201503050234","20150305","away","alabama-state-hornets","Southwestern Athletic", 66,78,118.35, 69.80,0.52,0.30,0.64,5,27,5,6,13,"grambling-state-tigers","Southwestern Athletic", 61,46, 75.40,127.85,0.31,0.00,0.67,10,24,6,0,12
"alcorn-state-braves-texas-southern-tigers-201503050591","20150305","home","texas-southern-tigers","Southwestern Athletic", 65,94,145.60,113.07,0.63,0.40,0.73,6,22,3,2,21,"alcorn-state-braves","Southwestern Athletic", 64,73,114.52,147.46,0.43,0.36,0.79,8,12,3,3,23
"american-university-eagles-lehigh-mountain-hawks-201503050303","20150305","away","american-university-eagles","Patriot League", 62,68,110.55,100.79,0.47,0.36,0.71,2,20,10,2,15,"lehigh-mountain-hawks","Patriot League", 62,62, 99.97,109.65,0.54,0.21,0.44,5,22,3,2,16
"arkansas-razorbacks-south-carolina-gamecocks-201503050525","20150305","away","arkansas-razorbacks","Southeastern", 68,78,114.32,108.45,0.46,0.33,0.65,14,18,10,3,23,"south-carolina-gamecocks","Southeastern", 67,74,111.15,117.16,0.51,0.40,0.69,8,22,7,6,15
"boston-university-terriers-lafayette-leopards-201503050298","20150305","home","lafayette-leopards","Patriot League", 54,89,165.70,119.15,0.63,0.55,0.50,7,24,2,3,14,"boston-university-terriers","Patriot League", 57,64,111.86,155.55,0.40,0.36,0.75,10,12,2,0,9
"bradley-braves-drake-bulldogs-201503050170","20150305","away","bradley-braves","Missouri Valley", 57,52, 91.54, 88.02,0.34,0.30,0.62,11,19,5,7,14,"drake-bulldogs","Missouri Valley", 56,50, 88.88, 92.43,0.37,0.23,0.94,4,27,4,5,16
"cal-state-fullerton-titans-uc-irvine-anteaters-201503050089","20150305","home","uc-irvine-anteaters","Big West", 61,68,112.08,102.19,0.43,0.33,0.72,6,26,5,10,16,"cal-state-fullerton-titans","Big West", 65,62, 94.80,103.98,0.38,0.46,0.67,9,24,5,2,23
"california-golden-bears-arizona-wildcats-201503050017","20150305","home","arizona-wildcats","Pac-12", 75,99,131.87, 79.92,0.57,0.36,0.59,10,31,9,6,15,"california-golden-bears","Pac-12", 75,60, 80.44,132.72,0.38,0.30,0.75,7,25,2,4,24
"central-arkansas-bears-nicholls-colonels-201503050409","20150305","home","nicholls-colonels","Southland", 71,77,108.46, 98.60,0.55,0.54,0.67,6,27,8,6,23,"central-arkansas-bears","Southland", 72,70, 97.65,107.41,0.31,0.25,0.82,15,13,11,2,24
"colorado-buffaloes-washington-huskies-201503050630","20150305","away","colorado-buffaloes","Pac-12", 58,64,110.88, 81.43,0.45,0.21,0.67,11,27,6,4,11,"washington-huskies","Pac-12", 63,47, 74.40,101.32,0.31,0.29,0.50,9,23,2,2,17
"csun-matadors-long-beach-state-49ers-201503050311","20150305","home","long-beach-state-49ers","Big West", 60,69,115.42, 97.02,0.48,0.32,0.89,8,25,3,5,19,"csun-matadors","Big West", 63,58, 91.58,108.94,0.38,0.31,0.62,9,18,6,0,13
"delaware-state-hornets-coppin-state-eagles-201503050130","20150305","away","delaware-state-hornets","Mid-Eastern", 77,104,134.45,118.94,0.55,0.43,0.73,13,36,5,3,18,"coppin-state-eagles","Mid-Eastern", 77,92,119.12,134.66,0.46,0.45,0.68,6,18,8,0,30
"eastern-illinois-panthers-belmont-bruins-201503050047","20150305","home","belmont-bruins","Ohio Valley", 62,97,156.17,103.04,0.61,0.59,0.75,11,26,7,2,14,"eastern-illinois-panthers","Ohio Valley", 61,64,105.61,160.07,0.41,0.36,0.67,9,12,5,3,13
"eastern-washington-eagles-idaho-state-bengals-201503050265","20150305","away","eastern-washington-eagles","Big Sky", 68,85,124.75,118.88,0.47,0.36,0.71,13,21,3,4,22,"idaho-state-bengals","Big Sky", 68,81,118.59,124.44,0.50,0.45,0.65,8,19,6,1,20
"georgia-state-panthers-louisiana-monroe-warhawks-201503050399","20150305","away","georgia-state-panthers","Sun Belt", 54,58,107.74, 92.88,0.41,0.36,0.53,10,19,8,4,17,"louisiana-monroe-warhawks","Sun Belt", 54,50, 92.10,106.84,0.33,0.13,0.67,20,22,3,1,15
"holy-cross-crusaders-bucknell-bison-201503050066","20150305","home","bucknell-bison","Patriot League", 72,90,124.21,114.55,0.48,0.31,0.83,9,24,7,2,20,"holy-cross-crusaders","Patriot League", 74,83,111.49,120.89,0.48,0.25,0.89,8,15,5,5,27
"houston-baptist-huskies-texas-am-corpus-christi-islanders-201503051231","20150305","home","texas-am-corpus-christi-islanders","Southland", 63,85,134.82,114.20,0.56,0.36,0.76,9,20,6,5,20,"houston-baptist-huskies","Southland", 65,72,111.36,131.46,0.38,0.32,0.92,10,17,3,3,29
"idaho-vandals-weber-state-wildcats-201503050633","20150305","home","weber-state-wildcats","Big Sky", 66,74,112.94, 96.15,0.43,0.29,0.80,12,21,6,4,20,"idaho-vandals","Western Athletic", 63,63,100.34,117.86,0.50,0.25,0.67,4,18,7,1,21
