"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"american-university-eagles-colgate-raiders-201503080124","20150308","away","american-university-eagles","Patriot League", 55,73,132.36,112.42,0.62,0.58,0.64,2,17,8,4,13,"colgate-raiders","Patriot League", 56,62,110.12,129.65,0.45,0.23,0.64,12,20,6,2,19
"central-arkansas-bears-mcneese-state-cowboys-201503080345","20150308","home","mcneese-state-cowboys","Southland", 61,70,114.65,111.37,0.39,0.21,0.75,18,24,5,5,10,"central-arkansas-bears","Southland", 60,68,113.74,117.09,0.45,0.48,0.67,8,21,3,4,15
"east-carolina-pirates-houston-cougars-201503080254","20150308","home","houston-cougars","American Athletic", 54,72,132.28, 99.21,0.50,0.43,0.67,15,24,2,6,14,"east-carolina-pirates","Conference USA", 56,54, 96.53,128.70,0.38,0.44,0.67,9,12,9,0,16
"hofstra-pride-william-and-mary-tribe-201503080658","20150308","home","william-and-mary-tribe","Colonial Athletic", 78,92,117.41,116.13,0.49,0.43,0.69,7,29,7,1,20,"hofstra-pride","Colonial Athletic", 80,91,114.38,115.64,0.49,0.34,0.52,10,28,9,1,29
"illinois-state-redbirds-uni-panthers-201503080418","20150308","home","uni-panthers","Missouri Valley", 59,69,117.16,101.87,0.37,0.32,0.85,8,22,6,2,13,"illinois-state-redbirds","Missouri Valley", 59,60,102.00,117.30,0.43,0.42,0.44,6,21,2,4,24
"iupui-jaguars-oral-roberts-golden-eagles-201503080448","20150308","home","oral-roberts-golden-eagles","Southland", 58,58,100.82, 97.34,0.44,0.40,0.78,6,23,3,3,14,"iupui-jaguars","Summit", 55,56,101.19,104.80,0.37,0.22,0.71,15,15,6,2,18
"lafayette-leopards-bucknell-bison-201503080066","20150308","away","lafayette-leopards","Patriot League", 60,80,133.55,123.53,0.53,0.44,0.88,2,18,4,5,20,"bucknell-bison","Patriot League", 62,74,119.60,129.30,0.43,0.39,0.68,13,20,2,1,20
"maryland-terrapins-nebraska-cornhuskers-201503080400","20150308","away","maryland-terrapins","Atlantic Coast", 65,64, 98.22, 93.62,0.40,0.28,0.84,8,30,0,5,26,"nebraska-cornhuskers","Big Ten", 69,61, 88.78, 93.14,0.31,0.14,0.62,12,21,10,0,23
"memphis-tigers-cincinnati-bearcats-201503080116","20150308","home","cincinnati-bearcats","American Athletic", 62,77,123.83,104.53,0.50,0.35,0.79,9,21,4,2,11,"memphis-tigers","American Athletic", 61,65,107.26,127.06,0.48,0.24,0.60,7,15,5,1,20
"monmouth-hawks-iona-gaels-201503080275","20150308","home","iona-gaels","Metro Atlantic Athletic", 72,95,131.64,106.70,0.51,0.54,0.92,7,25,11,3,18,"monmouth-hawks","Metro Atlantic Athletic", 71,77,108.21,133.50,0.50,0.40,0.60,7,21,6,5,13
"new-hampshire-wildcats-albany-great-danes-201503081176","20150308","home","albany-great-danes","America East", 56,60,106.66,103.10,0.50,0.31,0.88,2,23,6,3,13,"new-hampshire-wildcats","America East", 58,58,100.86,104.34,0.44,0.48,0.50,3,17,3,3,19
"northeastern-huskies-uncw-seahawks-201503080398","20150308","away","northeastern-huskies","Colonial Athletic", 62,78,125.05,113.83,0.48,0.50,0.81,11,21,6,4,10,"uncw-seahawks","Colonial Athletic", 63,71,113.48,124.66,0.48,0.47,0.85,5,18,2,4,19
"penn-state-nittany-lions-minnesota-golden-gophers-201503080363","20150308","away","penn-state-nittany-lions","Big Ten", 66,79,119.70,115.15,0.47,0.42,0.70,11,23,5,4,20,"minnesota-golden-gophers","Big Ten", 67,76,113.22,117.69,0.45,0.38,0.78,6,22,3,4,12
"saint-peters-peacocks-manhattan-jaspers-201503080335","20150308","home","manhattan-jaspers","Metro Atlantic Athletic", 60,65,107.60, 79.46,0.41,0.44,0.74,11,20,10,5,19,"saint-peters-peacocks","Metro Atlantic Athletic", 60,48, 79.87,108.16,0.40,0.25,0.44,11,19,6,1,22
"south-dakota-coyotes-ipfw-mastodons-201503080932","20150308","away","south-dakota-coyotes","Summit", 64,82,127.92,113.88,0.53,0.42,0.76,3,30,1,2,16,"ipfw-mastodons","Summit", 66,73,110.25,123.84,0.42,0.33,0.67,5,23,2,2,21
"stony-brook-seawolves-vermont-catamounts-201503080616","20150308","away","stony-brook-seawolves","America East", 66,79,119.48,116.45,0.44,0.46,0.76,14,26,5,7,19,"vermont-catamounts","America East", 63,77,121.57,124.73,0.45,0.50,0.81,6,22,6,10,22
"tulsa-golden-hurricane-smu-mustangs-201503080515","20150308","home","smu-mustangs","American Athletic", 65,67,102.75, 95.08,0.43,0.20,0.83,12,27,7,6,17,"tulsa-golden-hurricane","Conference USA", 65,62, 94.73,102.37,0.35,0.44,0.62,11,16,8,5,23
"usc-upstate-spartans-north-florida-ospreys-201503080434","20150308","home","north-florida-ospreys","Atlantic Sun", 65,63, 97.29, 88.03,0.39,0.24,0.64,12,21,8,3,11,"usc-upstate-spartans","Atlantic Sun", 64,57, 89.72, 99.17,0.43,0.31,0.38,10,25,8,1,17
"winthrop-eagles-coastal-carolina-chanticleers-201503080122","20150308","home","coastal-carolina-chanticleers","Big South", 67,81,121.01,104.58,0.47,0.41,0.65,9,29,3,2,19,"winthrop-eagles","Big South", 67,70,105.22,121.75,0.38,0.32,0.68,7,23,3,1,23
"wisconsin-badgers-ohio-state-buckeyes-201503080443","20150308","away","wisconsin-badgers","Big Ten", 57,72,126.21, 84.14,0.50,0.33,1.00,13,26,5,2,11,"ohio-state-buckeyes","Big Ten", 57,48, 83.82,125.73,0.34,0.20,0.64,9,17,7,3,7
