"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"albany-great-danes-stony-brook-seawolves-201501190569","20150119","away","albany-great-danes","America East", 59,64,107.66, 79.06,0.44,0.36,0.83,5,27,4,3,15,"stony-brook-seawolves","America East", 59,47, 79.96,108.89,0.32,0.18,0.45,15,18,2,8,19
"appalachian-state-mountaineers-troy-trojans-201501190596","20150119","away","appalachian-state-mountaineers","Southern", 67,69,103.34, 95.85,0.38,0.42,0.67,14,19,5,1,20,"troy-trojans","Sun Belt", 65,64, 97.86,105.50,0.40,0.25,0.53,14,24,11,1,20
"bethune-cookman-wildcats-morgan-state-bears-201501190376","20150119","away","bethune-cookman-wildcats","Mid-Eastern", 58,65,111.32, 99.33,0.41,0.30,0.89,9,28,0,4,16,"morgan-state-bears","Mid-Eastern", 59,58, 98.24,110.09,0.32,0.26,0.55,17,14,6,3,19
"binghamton-bearcats-vermont-catamounts-201501190616","20150119","home","vermont-catamounts","America East", 58,64,111.25, 76.48,0.38,0.23,0.91,12,24,7,9,13,"binghamton-bearcats","America East", 58,44, 76.17,110.79,0.34,0.27,0.69,4,18,6,3,20
"central-arkansas-bears-houston-baptist-huskies-201501190255","20150119","home","houston-baptist-huskies","Southland", 66,84,128.21, 93.10,0.54,0.38,0.90,11,28,8,5,18,"central-arkansas-bears","Southland", 68,61, 90.07,124.03,0.43,0.37,0.56,4,13,8,3,21
"detroit-titans-northeastern-huskies-201501190416","20150119","away","detroit-titans","Horizon League", 74,81,108.80, 92.68,0.43,0.37,0.89,11,30,8,2,25,"northeastern-huskies","Colonial Athletic", 75,69, 92.53,108.63,0.36,0.24,0.64,11,27,7,6,19
"florida-am-rattlers-coppin-state-eagles-201501190130","20150119","home","coppin-state-eagles","Mid-Eastern", 77,87,112.51, 96.99,0.46,0.36,0.61,10,20,11,2,16,"florida-am-rattlers","Mid-Eastern", 76,75, 98.39,114.14,0.44,0.29,0.62,15,30,3,3,19
"florida-state-seminoles-clemson-tigers-201501190120","20150119","away","florida-state-seminoles","Atlantic Coast", 61,59, 96.56, 90.01,0.48,0.23,0.86,4,21,6,4,24,"clemson-tigers","Atlantic Coast", 60,55, 91.34, 97.98,0.34,0.26,0.52,12,14,7,1,16
"georgia-state-panthers-arkansas-state-red-wolves-201501190022","20150119","away","georgia-state-panthers","Sun Belt", 61,60, 97.85, 88.06,0.36,0.30,0.76,9,26,7,1,19,"arkansas-state-red-wolves","Sun Belt", 60,54, 89.39, 99.32,0.29,0.35,0.83,8,18,3,5,20
"grambling-state-tigers-prairie-view-am-panthers-201501190468","20150119","home","prairie-view-am-panthers","Southwestern Athletic", 67,74,111.07, 90.06,0.46,0.19,0.58,14,17,9,2,15,"grambling-state-tigers","Southwestern Athletic", 67,60, 89.32,110.16,0.47,0.47,0.62,6,24,5,3,17
