"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"arizona-state-sun-devils-washington-huskies-201502150630","20150215","away","arizona-state-sun-devils","Pac-12", 65,78,119.88,104.51,0.49,0.42,0.59,14,26,1,1,19,"washington-huskies","Pac-12", 64,68,105.76,121.31,0.38,0.28,0.81,8,13,2,6,23
"arizona-wildcats-washington-state-cougars-201502150632","20150215","away","arizona-wildcats","Pac-12", 71,86,121.88, 83.62,0.57,0.29,0.50,10,31,7,4,19,"washington-state-cougars","Pac-12", 70,59, 84.77,123.56,0.42,0.35,0.40,3,18,5,1,18
"bucknell-bison-army-black-knights-201502150024","20150215","away","bucknell-bison","Patriot League", 63,78,123.95,119.18,0.53,0.76,0.61,7,22,7,2,18,"army-black-knights","Patriot League", 65,75,114.85,119.44,0.49,0.25,0.68,9,18,3,6,17
"california-golden-bears-utah-runnin-utes-201502150610","20150215","home","utah-runnin-utes","Pac-12", 62,76,122.22, 98.10,0.44,0.41,0.72,10,21,3,7,18,"california-golden-bears","Pac-12", 60,61,101.34,126.26,0.46,0.29,0.42,13,15,3,3,26
"detroit-titans-oakland-golden-grizzlies-201502150441","20150215","home","oakland-golden-grizzlies","Horizon League", 69,83,121.01,113.72,0.52,0.32,0.77,7,14,6,2,17,"detroit-titans","Horizon League", 67,78,116.03,123.47,0.48,0.41,0.79,11,21,9,3,23
"fairfield-stags-manhattan-jaspers-201502150335","20150215","home","manhattan-jaspers","Metro Atlantic Athletic", 66,79,119.48,105.87,0.47,0.47,0.76,6,15,15,1,21,"fairfield-stags","Metro Atlantic Athletic", 66,70,105.95,119.57,0.50,0.39,0.85,4,22,4,4,22
"hofstra-pride-drexel-dragons-201502150172","20150215","away","hofstra-pride","Colonial Athletic", 62,81,130.61, 91.91,0.63,0.33,0.56,8,25,4,3,18,"drexel-dragons","Colonial Athletic", 59,57, 96.47,137.08,0.33,0.19,0.94,9,15,5,5,18
"houston-cougars-ucf-knights-201502150103","20150215","home","ucf-knights","American Athletic", 57,56, 98.49, 94.98,0.49,0.25,0.55,2,19,5,2,6,"houston-cougars","American Athletic", 57,54, 94.74, 98.25,0.43,0.29,0.20,10,22,5,4,10
"illinois-fighting-illini-wisconsin-badgers-201502150657","20150215","home","wisconsin-badgers","Big Ten", 49,68,138.55, 99.84,0.51,0.36,0.60,13,16,6,0,11,"illinois-fighting-illini","Big Ten", 49,49, 99.64,138.28,0.40,0.36,0.82,9,12,3,1,16
"iona-gaels-quinnipiac-bobcats-201502151115","20150215","away","iona-gaels","Metro Atlantic Athletic", 72,60, 83.67, 79.48,0.32,0.29,0.58,9,30,6,5,13,"quinnipiac-bobcats","Metro Atlantic Athletic", 68,57, 83.86, 88.28,0.34,0.11,0.62,18,37,2,8,15
