"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"campbell-fighting-camels-gardner-webb-runnin-bulldogs-201502061048","20150206","home","gardner-webb-runnin-bulldogs","Big South", 70,73,104.70, 93.23,0.39,0.15,0.71,15,23,8,2,14,"campbell-fighting-camels","Big South", 69,65, 93.81,105.36,0.45,0.37,0.69,6,23,7,2,22
"canisius-golden-griffins-manhattan-jaspers-201502060335","20150206","home","manhattan-jaspers","Metro Atlantic Athletic", 76,78,103.21, 91.30,0.44,0.35,0.77,10,24,12,6,24,"canisius-golden-griffins","Metro Atlantic Athletic", 78,69, 87.95, 99.42,0.31,0.28,0.84,14,21,10,6,24
"charleston-southern-buccaneers-radford-highlanders-201502060483","20150206","away","charleston-southern-buccaneers","Big South", 66,79,120.40,108.21,0.50,0.59,0.73,3,21,4,1,19,"radford-highlanders","Big South", 60,71,117.44,130.67,0.46,0.20,0.76,10,20,3,7,22
"dartmouth-big-green-yale-bulldogs-201502060684","20150206","home","yale-bulldogs","Ivy League", 64,81,127.45,103.85,0.51,0.62,0.69,8,25,7,4,21,"dartmouth-big-green","Ivy League", 62,66,106.67,130.92,0.41,0.32,0.55,14,17,7,7,26
"dayton-flyers-george-washington-colonials-201502060227","20150206","home","george-washington-colonials","Atlantic Ten", 63,65,102.78,101.20,0.45,0.31,0.64,9,22,8,3,20,"dayton-flyers","Atlantic Ten", 65,64, 98.15, 99.68,0.41,0.29,0.83,6,21,8,5,21
"harvard-crimson-brown-bears-201502060064","20150206","away","harvard-crimson","Ivy League", 70,76,108.37,105.52,0.42,0.36,0.63,16,22,7,6,20,"brown-bears","Ivy League", 69,74,107.55,110.45,0.42,0.20,0.76,10,17,7,5,25
"high-point-panthers-coastal-carolina-chanticleers-201502060122","20150206","home","coastal-carolina-chanticleers","Big South", 63,65,103.02, 95.09,0.37,0.29,0.77,12,29,5,2,19,"high-point-panthers","Big South", 59,60,101.01,109.43,0.40,0.43,0.64,6,16,8,3,25
"jacksonville-dolphins-north-florida-ospreys-201502060434","20150206","home","north-florida-ospreys","Atlantic Sun", 52,77,146.77, 95.30,0.52,0.44,0.93,8,18,7,4,12,"jacksonville-dolphins","Atlantic Sun", 51,50, 97.95,150.84,0.50,0.25,0.54,3,13,4,2,10
"liberty-flames-presbyterian-blue-hose-201502060470","20150206","home","presbyterian-blue-hose","Big South", 65,69,105.74, 93.48,0.48,0.47,0.48,7,19,5,1,15,"liberty-flames","Big South", 61,61,100.50,113.68,0.42,0.33,0.91,7,17,2,6,21
"longwood-lancers-unc-asheville-bulldogs-201502060393","20150206","home","unc-asheville-bulldogs","Big South", 65,71,108.96, 85.94,0.38,0.39,0.72,19,30,5,5,17,"longwood-lancers","Big South", 64,56, 87.10,110.43,0.39,0.26,0.52,7,15,12,3,23
"niagara-purple-eagles-marist-red-foxes-201502060338","20150206","home","marist-red-foxes","Metro Atlantic Athletic", 61,63,103.10, 96.56,0.43,0.24,0.64,8,21,6,3,16,"niagara-purple-eagles","Metro Atlantic Athletic", 63,59, 93.08, 99.39,0.37,0.24,0.84,10,28,7,1,12
"penn-quakers-cornell-big-red-201502060131","20150206","away","penn-quakers","Ivy League", 64,71,110.51,107.40,0.49,0.53,0.74,6,26,1,1,24,"cornell-big-red","Ivy League", 63,69,109.27,112.44,0.40,0.38,0.66,8,15,8,5,18
"princeton-tigers-columbia-lions-201502060127","20150206","away","princeton-tigers","Ivy League", 55,74,135.06,113.16,0.54,0.60,0.76,4,23,5,1,13,"columbia-lions","Ivy League", 56,62,111.11,132.62,0.42,0.38,0.87,6,20,4,4,17
"siena-saints-iona-gaels-201502060275","20150206","home","iona-gaels","Metro Atlantic Athletic", 70,87,124.78,119.05,0.42,0.36,0.86,13,19,5,3,19,"siena-saints","Metro Atlantic Athletic", 68,83,121.90,127.78,0.42,0.40,0.74,21,19,10,4,24
