"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"boston-university-terriers-lafayette-leopards-201502090298","20150209","away","boston-university-terriers","Patriot League", 64,74,116.22, 94.23,0.52,0.34,0.86,9,20,9,3,14,"lafayette-leopards","Patriot League", 65,60, 92.97,114.66,0.40,0.32,0.82,7,14,7,2,13
"florida-am-rattlers-delaware-state-hornets-201502090160","20150209","home","delaware-state-hornets","Mid-Eastern", 71,90,127.55,104.88,0.46,0.48,0.70,12,25,7,4,18,"florida-am-rattlers","Mid-Eastern", 70,74,105.02,127.72,0.39,0.35,0.83,12,25,4,2,16
"georgia-tech-yellow-jackets-virginia-tech-hokies-201502090620","20150209","home","virginia-tech-hokies","Atlantic Coast", 64,65,100.94, 97.84,0.52,0.42,0.59,2,19,6,4,19,"georgia-tech-yellow-jackets","Atlantic Coast", 63,63, 99.39,102.55,0.38,0.21,0.68,16,20,4,3,18
"grambling-state-tigers-alcorn-state-braves-201502090010","20150209","home","alcorn-state-braves","Southwestern Athletic", 74,91,123.55,104.54,0.54,0.50,0.74,7,24,4,2,19,"grambling-state-tigers","Southwestern Athletic", 73,77,105.12,124.24,0.41,0.44,0.64,10,17,5,1,21
"howard-bison-hampton-pirates-201502090702","20150209","home","hampton-pirates","Mid-Eastern", 76,73, 96.47, 91.18,0.34,0.46,0.81,10,26,7,7,17,"howard-bison","Mid-Eastern", 78,69, 88.08, 93.19,0.41,0.29,0.69,11,27,7,9,20
"iowa-state-cyclones-oklahoma-sooners-201502090444","20150209","home","oklahoma-sooners","Big 12", 71,94,132.59,117.07,0.51,0.48,1.00,13,24,5,6,12,"iowa-state-cyclones","Big 12", 73,83,114.29,129.43,0.48,0.48,0.50,10,23,4,0,14
"jackson-state-tigers-southern-university-jaguars-201502090241","20150209","away","jackson-state-tigers","Southwestern Athletic", 63,62, 99.02, 83.05,0.42,0.27,0.55,14,23,1,2,20,"southern-university-jaguars","Southwestern Athletic", 60,52, 86.01,102.55,0.37,0.35,0.57,5,12,8,4,14
"lamar-cardinals-abilene-christian-wildcats-201502090036","20150209","away","lamar-cardinals","Southland", 64,80,124.89, 95.23,0.46,0.58,0.81,11,19,5,6,20,"abilene-christian-wildcats","Southland", 64,61, 95.55,125.31,0.38,0.50,0.80,12,16,5,5,23
"maryland-eastern-shore-hawks-norfolk-state-spartans-201502091052","20150209","away","maryland-eastern-shore-hawks","Mid-Eastern", 64,82,128.64,100.40,0.48,0.36,0.75,17,20,6,2,18,"norfolk-state-spartans","Mid-Eastern", 66,64, 96.65,123.84,0.39,0.21,0.76,10,14,10,7,20
"mcneese-state-cowboys-new-orleans-privateers-201502090406","20150209","home","new-orleans-privateers","Southland", 67,81,120.92,106.00,0.59,0.62,0.76,5,22,6,5,10,"mcneese-state-cowboys","Southland", 64,71,110.18,125.70,0.43,0.38,0.67,12,13,10,1,23
