"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"alabama-am-bulldogs-alcorn-state-braves-201502230010","20150223","away","alabama-am-bulldogs","Southwestern Athletic", 64,73,114.61,108.33,0.43,0.32,0.73,10,27,3,1,17,"alcorn-state-braves","Southwestern Athletic", 71,69, 97.42,103.07,0.35,0.39,0.62,7,23,4,2,19
"alabama-state-hornets-southern-university-jaguars-201502230241","20150223","away","alabama-state-hornets","Southwestern Athletic", 69,56, 81.70, 78.78,0.34,0.36,0.67,9,26,3,5,17,"southern-university-jaguars","Southwestern Athletic", 64,54, 84.40, 87.52,0.38,0.29,0.57,9,23,5,3,21
"austin-peay-governors-eastern-kentucky-colonels-201502230180","20150223","home","eastern-kentucky-colonels","Ohio Valley", 63,76,120.87,101.78,0.51,0.43,0.70,5,20,10,3,15,"austin-peay-governors","Ohio Valley", 63,64,100.97,119.90,0.39,0.33,0.74,16,16,7,3,17
"coastal-carolina-chanticleers-longwood-lancers-201502231219","20150223","away","coastal-carolina-chanticleers","Big South", 67,72,108.15, 88.62,0.51,0.40,0.62,8,28,8,5,14,"longwood-lancers","Big South", 66,59, 89.39,109.09,0.37,0.34,0.70,7,18,9,4,22
"delaware-state-hornets-norfolk-state-spartans-201502231052","20150223","home","norfolk-state-spartans","Mid-Eastern", 67,81,121.67,106.65,0.52,0.36,0.77,8,28,7,4,12,"delaware-state-hornets","Mid-Eastern", 70,71,101.66,115.98,0.41,0.37,0.40,12,17,1,2,17
"florida-am-rattlers-savannah-state-tigers-201502231066","20150223","home","savannah-state-tigers","Mid-Eastern", 66,63, 95.80, 79.08,0.44,0.31,0.35,12,24,5,4,22,"florida-am-rattlers","Mid-Eastern", 63,52, 82.23, 99.62,0.32,0.25,0.72,9,21,9,9,19
"houston-baptist-huskies-incarnate-word-cardinals-201502231528","20150223","home","incarnate-word-cardinals","Southland", 70,77,110.71, 92.02,0.43,0.39,0.82,8,23,8,4,16,"houston-baptist-huskies","Southland", 65,64, 98.00,117.91,0.40,0.29,0.74,11,24,4,5,16
"howard-bison-south-carolina-state-bulldogs-201502230517","20150223","away","howard-bison","Mid-Eastern", 63,75,118.60,102.78,0.56,0.11,0.80,8,23,8,2,16,"south-carolina-state-bulldogs","Mid-Eastern", 64,65,101.89,117.57,0.42,0.35,0.55,10,12,7,3,18
"kansas-jayhawks-kansas-state-wildcats-201502230288","20150223","home","kansas-state-wildcats","Big 12", 65,70,107.19, 96.47,0.47,0.29,0.84,6,20,5,2,19,"kansas-jayhawks","Big 12", 64,63, 98.76,109.73,0.39,0.15,0.77,13,22,9,2,20
"lamar-cardinals-stephen-f-austin-lumberjacks-201502230547","20150223","home","stephen-f-austin-lumberjacks","Southland", 70,103,146.42,105.20,0.62,0.52,1.00,5,18,9,2,20,"lamar-cardinals","Southland", 69,74,106.62,148.40,0.50,0.43,0.71,8,17,3,4,15
"louisville-cardinals-georgia-tech-yellow-jackets-201502230232","20150223","away","louisville-cardinals","American Athletic", 62,52, 83.24, 81.64,0.37,0.31,0.41,10,21,9,3,10,"georgia-tech-yellow-jackets","Atlantic Coast", 61,51, 83.33, 84.97,0.41,0.09,0.40,11,29,4,6,17
"manhattan-jaspers-marist-red-foxes-201502230338","20150223","away","manhattan-jaspers","Metro Atlantic Athletic", 65,67,103.05, 83.06,0.47,0.21,0.71,8,31,9,2,19,"marist-red-foxes","Metro Atlantic Athletic", 68,54, 79.84, 99.07,0.35,0.19,0.55,9,22,6,3,23
"mississippi-valley-state-delta-devils-texas-southern-tigers-201502230591","20150223","home","texas-southern-tigers","Southwestern Athletic", 72,83,114.51,100.72,0.47,0.37,0.60,13,21,4,3,16,"mississippi-valley-state-delta-devils","Southwestern Athletic", 68,73,107.94,122.72,0.50,0.57,0.59,11,23,7,1,21
"morehead-state-eagles-tennessee-state-tigers-201502230582","20150223","away","morehead-state-eagles","Ohio Valley", 67,86,129.18,105.14,0.53,0.33,0.81,8,23,11,0,29,"tennessee-state-tigers","Ohio Valley", 63,70,111.03,136.40,0.51,0.43,0.67,6,18,5,3,21
"morgan-state-bears-north-carolina-at-aggies-201502230410","20150223","home","north-carolina-at-aggies","Mid-Eastern", 62,60, 96.90, 92.05,0.42,0.17,0.70,11,29,2,3,17,"morgan-state-bears","Mid-Eastern", 62,57, 91.91, 96.75,0.30,0.40,0.44,15,17,6,3,19
"new-orleans-privateers-southeastern-louisiana-lions-201502230506","20150223","away","new-orleans-privateers","Southland", 67,74,110.00,108.51,0.39,0.35,0.88,18,16,4,7,14,"southeastern-louisiana-lions","Southland", 65,73,111.46,112.98,0.49,0.32,0.82,12,18,8,8,20
"northwestern-state-demons-nicholls-colonels-201502230409","20150223","away","northwestern-state-demons","Southland", 68,79,116.73, 84.22,0.45,0.38,0.75,9,30,7,3,17,"nicholls-colonels","Southland", 66,57, 86.68,120.13,0.38,0.36,0.45,7,25,3,5,19
"uapb-golden-lions-prairie-view-am-panthers-201502230468","20150223","home","prairie-view-am-panthers","Southwestern Athletic", 67,79,117.43, 86.22,0.52,0.54,0.82,11,17,12,1,19,"uapb-golden-lions","Southwestern Athletic", 64,58, 90.07,122.69,0.45,0.33,0.65,11,16,9,5,15
"xavier-musketeers-st-johns-red-storm-201502230534","20150223","home","st-johns-red-storm","Big East", 63,58, 92.77, 91.17,0.44,0.33,0.40,5,21,13,10,16,"xavier-musketeers","Big East", 64,57, 88.52, 90.07,0.36,0.46,0.76,14,30,2,1,14
