"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"alcorn-state-braves-iowa-hawkeyes-201412090276","20141209","home","iowa-hawkeyes","Big Ten", 62,67,108.29, 71.11,0.42,0.16,0.73,13,31,3,3,12,"alcorn-state-braves","Southwestern Athletic", 62,44, 71.36,108.67,0.33,0.00,0.55,9,22,5,2,16
"bowling-green-falcons-dayton-flyers-201412090157","20141209","home","dayton-flyers","Atlantic Ten", 61,56, 91.47, 84.93,0.37,0.07,0.72,7,30,6,4,13,"bowling-green-falcons","Mid-American", 63,52, 82.26, 88.59,0.37,0.24,0.33,9,27,6,3,20
"bradley-braves-kansas-state-wildcats-201412090288","20141209","home","kansas-state-wildcats","Big 12", 54,50, 92.59, 87.04,0.35,0.50,0.70,9,19,9,6,22,"bradley-braves","Missouri Valley", 54,47, 87.15, 92.72,0.35,0.38,0.69,9,13,7,2,21
"bryant-bulldogs-army-black-knights-201412090024","20141209","away","bryant-bulldogs","Northeast", 66,80,120.90,110.33,0.50,0.44,0.70,11,17,9,4,20,"army-black-knights","Patriot League", 65,73,112.74,123.55,0.51,0.24,0.68,9,17,6,4,20
"eastern-illinois-panthers-uc-davis-aggies-201412090088","20141209","home","uc-davis-aggies","Big West", 64,80,125.69,109.98,0.58,0.50,0.82,6,22,4,4,16,"eastern-illinois-panthers","Ohio Valley", 63,70,110.27,126.02,0.42,0.42,0.67,11,12,9,2,23
"eastern-michigan-eagles-michigan-wolverines-201412090357","20141209","away","eastern-michigan-eagles","Mid-American", 57,45, 78.52, 73.28,0.33,0.32,0.75,9,22,6,1,16,"michigan-wolverines","Big Ten", 58,42, 72.70, 77.90,0.33,0.19,0.77,1,25,9,1,15
"evansville-aces-belmont-bruins-201412090047","20141209","away","evansville-aces","Missouri Valley", 66,65, 98.99, 94.42,0.49,0.36,0.67,4,29,7,4,14,"belmont-bruins","Ohio Valley", 69,62, 89.36, 93.68,0.37,0.35,0.78,9,23,7,2,15
"furman-paladins-tcu-horned-frogs-201412090576","20141209","home","tcu-horned-frogs","Big 12", 59,80,136.28,117.54,0.60,0.40,0.59,11,14,5,5,16,"furman-paladins","Southern", 61,69,113.10,131.13,0.51,0.40,0.83,5,15,4,1,29
"hartford-hawks-holy-cross-crusaders-201412090253","20141209","away","hartford-hawks","America East", 57,79,138.83,107.20,0.61,0.47,0.67,5,16,7,0,18,"holy-cross-crusaders","Patriot League", 60,61,101.75,131.77,0.37,0.29,0.82,13,14,5,4,15
"idaho-state-bengals-grand-canyon-antelopes-201412090237","20141209","away","idaho-state-bengals","Big Sky", 56,67,119.87, 91.24,0.53,0.50,0.73,10,22,7,2,15,"grand-canyon-antelopes","Western Athletic", 60,51, 85.51,112.34,0.33,0.28,0.80,7,13,8,5,17
"indiana-hoosiers-louisville-cardinals-201412090314","20141209","home","louisville-cardinals","American Athletic", 78,94,121.15, 95.37,0.44,0.35,0.59,23,25,10,8,16,"indiana-hoosiers","Big Ten", 76,74, 98.01,124.50,0.48,0.40,0.57,8,22,6,3,19
"iupui-jaguars-xavier-musketeers-201412090682","20141209","home","xavier-musketeers","Big East", 63,66,105.04, 68.44,0.53,0.36,0.68,6,23,14,4,12,"iupui-jaguars","Summit", 64,43, 67.53,103.66,0.35,0.07,0.86,9,15,12,0,16
"liu-brooklyn-blackbirds-maine-black-bears-201412090334","20141209","away","liu-brooklyn-blackbirds","Northeast", 67,83,123.82,104.43,0.50,0.59,0.70,9,22,5,2,22,"maine-black-bears","America East", 68,70,102.74,121.82,0.42,0.33,0.67,8,20,5,1,23
"loyola-maryland-greyhounds-saint-josephs-hawks-201412090535","20141209","home","saint-josephs-hawks","Atlantic Ten", 59,68,114.48, 70.71,0.47,0.38,0.68,7,30,7,5,17,"loyola-maryland-greyhounds","Patriot League", 60,42, 69.94,113.24,0.28,0.12,0.56,8,20,4,2,20
"marist-red-foxes-penn-quakers-201412090460","20141209","home","penn-quakers","Ivy League", 66,59, 88.84, 63.25,0.42,0.40,0.69,10,31,9,2,19,"marist-red-foxes","Metro Atlantic Athletic", 69,42, 60.70, 85.27,0.21,0.14,0.94,9,20,7,7,13
"mount-st-marys-mountaineers-notre-dame-fighting-irish-201412090423","20141209","home","notre-dame-fighting-irish","Atlantic Coast", 62,93,149.96,108.04,0.59,0.57,0.81,12,28,7,2,8,"mount-st-marys-mountaineers","Northeast", 67,67,100.75,139.84,0.37,0.37,0.44,12,14,2,4,16
