"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"abilene-christian-wildcats-houston-baptist-huskies-201502020255","20150202","home","houston-baptist-huskies","Southland", 66,77,117.48, 93.07,0.56,0.27,0.78,11,25,6,5,19,"abilene-christian-wildcats","Southland", 66,61, 92.49,116.75,0.41,0.25,0.75,10,14,9,0,15
"alabama-am-bulldogs-texas-southern-tigers-201502020591","20150202","home","texas-southern-tigers","Southwestern Athletic", 61,68,111.46,106.54,0.47,0.42,0.67,9,21,4,8,13,"alabama-am-bulldogs","Southwestern Athletic", 64,65,101.66,106.36,0.35,0.24,0.81,16,19,9,4,18
"alabama-state-hornets-prairie-view-am-panthers-201502020468","20150202","away","alabama-state-hornets","Southwestern Athletic", 66,73,110.93,107.89,0.48,0.36,0.72,12,20,9,6,18,"prairie-view-am-panthers","Southwestern Athletic", 69,71,102.54,105.43,0.47,0.44,0.67,10,15,11,0,19
"american-university-eagles-holy-cross-crusaders-201502020253","20150202","away","american-university-eagles","Patriot League", 48,57,118.10,103.60,0.47,0.59,0.78,5,15,5,0,13,"holy-cross-crusaders","Patriot League", 47,50,106.95,121.92,0.51,0.27,0.58,6,19,4,4,15
"bryant-bulldogs-pittsburgh-panthers-201502020465","20150202","home","pittsburgh-panthers","Atlantic Coast", 63,72,113.59,105.70,0.46,0.40,0.63,8,19,8,4,14,"bryant-bulldogs","Northeast", 66,67,100.89,108.42,0.51,0.43,0.69,2,23,5,2,13
"charleston-southern-buccaneers-winthrop-eagles-201502020649","20150202","home","winthrop-eagles","Big South", 65,77,117.65, 84.04,0.53,0.39,0.77,6,25,13,4,17,"charleston-southern-buccaneers","Big South", 67,55, 82.43,115.41,0.35,0.14,0.75,7,20,6,1,16
"florida-am-rattlers-north-carolina-central-eagles-201502020907","20150202","home","north-carolina-central-eagles","Mid-Eastern", 64,85,131.91, 66.73,0.54,0.59,0.87,10,34,6,5,18,"florida-am-rattlers","Mid-Eastern", 65,43, 65.80,130.06,0.30,0.21,0.47,4,13,4,2,15
"green-bay-phoenix-wright-state-raiders-201502020660","20150202","away","green-bay-phoenix","Horizon League", 62,71,114.66, 93.67,0.46,0.24,0.75,11,20,10,3,18,"wright-state-raiders","Horizon League", 61,58, 95.07,116.38,0.49,0.40,0.67,6,21,6,2,18
"hampton-pirates-njit-highlanders-201502021186","20150202","home","njit-highlanders","Independents", 66,86,130.68,101.81,0.58,0.59,0.61,8,23,5,5,21,"hampton-pirates","Mid-Eastern", 66,67,102.11,131.07,0.41,0.35,0.58,10,13,8,3,14
"iowa-state-cyclones-kansas-jayhawks-201502020287","20150202","home","kansas-jayhawks","Big 12", 76,89,117.46,100.31,0.51,0.48,0.65,10,25,8,5,18,"iowa-state-cyclones","Big 12", 75,76,101.95,119.39,0.42,0.33,0.64,15,22,9,6,21
"lamar-cardinals-sam-houston-state-bearkats-201502020495","20150202","home","sam-houston-state-bearkats","Southland", 65,79,121.51, 76.90,0.43,0.42,0.74,13,28,8,6,18,"lamar-cardinals","Southland", 67,50, 74.94,118.41,0.36,0.08,0.45,8,23,5,2,21
"maryland-eastern-shore-hawks-howard-bison-201502020256","20150202","home","howard-bison","Mid-Eastern", 67,83,124.00,110.55,0.57,0.57,0.68,4,22,2,3,22,"maryland-eastern-shore-hawks","Mid-Eastern", 67,74,110.63,124.09,0.43,0.53,0.61,10,17,4,0,23
"mcneese-state-cowboys-southeastern-louisiana-lions-201502020506","20150202","away","mcneese-state-cowboys","Southland", 63,73,115.26, 94.73,0.39,0.34,0.76,10,18,9,4,17,"southeastern-louisiana-lions","Southland", 67,60, 89.19,108.51,0.49,0.21,0.76,6,30,5,4,17
"mississippi-valley-state-delta-devils-grambling-state-tigers-201502020234","20150202","away","mississippi-valley-state-delta-devils","Southwestern Athletic", 70,68, 97.57, 93.26,0.47,0.13,0.75,8,25,7,2,14,"grambling-state-tigers","Southwestern Athletic", 68,65, 95.97,100.40,0.34,0.36,0.67,13,17,9,1,19
"morgan-state-bears-coppin-state-eagles-201502020130","20150202","home","coppin-state-eagles","Mid-Eastern", 69,80,116.02, 97.17,0.44,0.25,0.81,10,29,4,2,24,"morgan-state-bears","Mid-Eastern", 69,67, 97.03,115.86,0.34,0.37,0.52,17,22,4,1,23
"new-orleans-privateers-nicholls-colonels-201502020409","20150202","home","nicholls-colonels","Southland", 65,67,103.05, 84.59,0.57,0.33,0.42,10,15,10,4,29,"new-orleans-privateers","Southland", 65,55, 84.66,103.13,0.42,0.14,0.67,8,15,9,3,27
"rider-broncs-siena-saints-201502020512","20150202","home","siena-saints","Metro Atlantic Athletic", 64,79,124.31,113.29,0.48,0.40,0.78,4,22,6,2,21,"rider-broncs","Metro Atlantic Athletic", 67,72,108.23,118.75,0.45,0.33,0.64,6,26,4,5,23
"uapb-golden-lions-jackson-state-tigers-201502020280","20150202","home","jackson-state-tigers","Southwestern Athletic", 65,69,105.58, 68.86,0.43,0.34,0.65,14,20,10,2,23,"uapb-golden-lions","Southwestern Athletic", 66,45, 68.26,104.66,0.23,0.21,0.70,8,17,10,3,16
"virginia-cavaliers-north-carolina-tar-heels-201502020413","20150202","away","virginia-cavaliers","Atlantic Coast", 64,75,117.39,100.18,0.52,0.42,0.67,6,13,9,7,13,"north-carolina-tar-heels","Atlantic Coast", 63,64,102.29,119.87,0.45,0.44,0.77,10,22,3,3,16
