"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"appalachian-state-mountaineers-jacksonville-dolphins-201412040281","20141204","away","appalachian-state-mountaineers","Southern", 62,67,107.74, 90.06,0.44,0.45,0.69,6,24,5,3,26,"jacksonville-dolphins","Atlantic Sun", 65,56, 86.81,103.86,0.38,0.21,0.59,8,18,3,1,25
"arkansas-razorbacks-iowa-state-cyclones-201412040277","20141204","home","iowa-state-cyclones","Big 12", 70,95,135.89,110.14,0.64,0.53,0.78,1,24,5,0,17,"arkansas-razorbacks","Southeastern", 70,77,109.84,135.51,0.48,0.36,0.63,8,18,7,4,20
"baylor-bears-vanderbilt-commodores-201412040615","20141204","away","baylor-bears","Big 12", 59,66,111.52,106.45,0.45,0.56,0.57,12,19,7,3,20,"vanderbilt-commodores","Southeastern", 61,63,102.66,107.55,0.44,0.18,0.78,9,20,8,6,17
"csun-matadors-pepperdine-waves-201412040461","20141204","home","pepperdine-waves","West Coast", 64,66,102.50, 86.97,0.37,0.52,0.88,7,28,2,3,19,"csun-matadors","Big West", 67,56, 83.75, 98.71,0.39,0.00,0.57,7,28,7,4,15
"depaul-blue-demons-chicago-state-cougars-201412040112","20141204","away","depaul-blue-demons","Big East", 73,84,114.42, 81.73,0.52,0.44,0.78,7,26,9,3,24,"chicago-state-cougars","Western Athletic", 72,60, 83.47,116.86,0.37,0.33,0.48,10,11,14,2,28
"green-bay-phoenix-georgia-state-panthers-201412040231","20141204","home","georgia-state-panthers","Sun Belt", 64,72,113.04, 75.36,0.53,0.39,0.50,8,27,9,7,17,"green-bay-phoenix","Horizon League", 67,48, 71.51,107.26,0.29,0.27,0.61,7,21,5,2,20
"lsu-tigers-west-virginia-mountaineers-201412040636","20141204","away","lsu-tigers","Southeastern", 76,74, 96.90, 95.59,0.46,0.53,0.78,9,31,9,6,20,"west-virginia-mountaineers","Big 12", 77,73, 94.82, 96.11,0.34,0.29,0.69,14,18,19,6,16
"monmouth-hawks-marist-red-foxes-201412040338","20141204","away","monmouth-hawks","Metro Atlantic Athletic", 60,57, 94.62, 83.00,0.51,0.25,0.60,8,22,14,3,18,"marist-red-foxes","Metro Atlantic Athletic", 63,50, 79.73, 90.89,0.43,0.30,0.57,3,17,8,4,15
"morehead-state-eagles-uab-blazers-201412040034","20141204","home","uab-blazers","Conference USA", 61,58, 95.86, 79.33,0.39,0.25,0.63,16,19,13,7,13,"morehead-state-eagles","Ohio Valley", 64,48, 74.96, 90.58,0.34,0.24,0.67,13,22,8,3,21
"north-carolina-at-aggies-usc-upstate-spartans-201412041203","20141204","home","usc-upstate-spartans","Atlantic Sun", 62,65,105.22, 87.41,0.38,0.30,0.58,9,24,8,2,15,"north-carolina-at-aggies","Mid-Eastern", 60,54, 89.78,108.07,0.37,0.23,0.79,8,26,2,6,19
"sacramento-state-hornets-abilene-christian-wildcats-201412040036","20141204","home","abilene-christian-wildcats","Southland", 66,72,109.65, 92.90,0.51,0.41,0.79,5,21,2,0,23,"sacramento-state-hornets","Big Sky", 62,61, 98.17,115.87,0.32,0.24,0.71,17,15,10,3,22
"san-diego-toreros-san-diego-state-aztecs-201412040498","20141204","home","san-diego-state-aztecs","Mountain West", 62,57, 91.59, 77.13,0.37,0.55,0.48,13,22,8,5,13,"san-diego-toreros","West Coast", 56,48, 84.96,100.89,0.37,0.30,0.67,8,22,8,3,22
"seattle-redhawks-uc-santa-barbara-gauchos-201412040501","20141204","home","uc-santa-barbara-gauchos","Big West", 59,87,147.54, 78.01,0.59,0.55,1.00,8,25,5,5,12,"seattle-redhawks","Western Athletic", 61,46, 75.40,142.60,0.32,0.25,0.39,11,15,2,1,13
"tcu-horned-frogs-ole-miss-rebels-201412040365","20141204","away","tcu-horned-frogs","Big 12", 62,66,105.89, 86.64,0.40,0.50,0.70,12,26,3,3,18,"ole-miss-rebels","Southeastern", 62,54, 87.14,106.51,0.30,0.31,0.89,10,20,7,5,18
"texas-pan-american-broncs-houston-cougars-201412040254","20141204","home","houston-cougars","American Athletic", 67,72,108.26, 87.21,0.40,0.31,1.00,14,31,6,8,17,"texas-pan-american-broncs","Western Athletic", 69,58, 84.32,104.68,0.36,0.11,0.43,16,22,8,2,14
"ualr-trojans-missouri-state-bears-201412040551","20141204","home","missouri-state-bears","Missouri Valley", 65,73,111.62,103.98,0.47,0.43,0.87,2,21,4,2,18,"ualr-trojans","Sun Belt", 59,68,114.39,122.80,0.47,0.56,0.57,5,22,6,3,14
"umbc-retrievers-george-washington-colonials-201412040227","20141204","home","george-washington-colonials","Atlantic Ten", 71,83,117.71, 85.09,0.45,0.29,0.73,15,22,12,8,13,"umbc-retrievers","America East", 69,60, 86.66,119.87,0.44,0.46,0.80,4,25,5,9,20
"western-illinois-leathernecks-akron-zips-201412040003","20141204","home","akron-zips","Mid-American", 64,73,114.26, 76.70,0.44,0.39,0.67,6,28,7,9,21,"western-illinois-leathernecks","Summit", 63,49, 77.93,116.09,0.35,0.27,0.55,3,23,3,0,18
