"game_key","date","win_court","win_team","win_conference","win_possessions","win_points_scored","win_offensive_rating","win_defensive_rating","win_field_goal_fraction","win_three_point_fraction","win_free_throw_fraction","win_offensive_rebounds","win_defensive_rebounds","win_steals","win_blocked_shots","win_personal_fouls","loss_team","loss_conference","loss_possessions","loss_points_scored","loss_offensive_rating","loss_defensive_rating","loss_field_goal_fraction","loss_three_point_fraction","loss_free_throw_fraction","loss_offensive_rebounds","loss_defensive_rebounds","loss_steals","loss_blocked_shots","loss_personal_fouls"
"arkansas-razorbacks-kentucky-wildcats-201503150292","20150315","home","kentucky-wildcats","Southeastern", 60,78,129.33,104.46,0.51,0.58,0.78,11,17,4,6,17,"arkansas-razorbacks","Southeastern", 62,63,100.85,124.86,0.44,0.31,0.65,9,11,4,3,22
"georgia-southern-eagles-georgia-state-panthers-201503150231","20150315","home","georgia-state-panthers","Sun Belt", 45,38, 84.67, 80.21,0.33,0.15,0.60,12,19,7,3,16,"georgia-southern-eagles","Southern", 46,36, 77.84, 82.17,0.23,0.19,0.69,14,20,4,5,11
"michigan-state-spartans-wisconsin-badgers-201503150657","20150315","home","wisconsin-badgers","Big Ten", 62,80,129.20,111.43,0.48,0.50,0.85,3,18,7,1,11,"michigan-state-spartans","Big Ten", 62,69,111.82,129.65,0.51,0.43,1.00,6,23,3,2,17
"smu-mustangs-connecticut-huskies-201503150129","20150315","away","smu-mustangs","American Athletic", 56,62,109.98, 95.79,0.35,0.11,0.81,12,28,2,6,18,"connecticut-huskies","American Athletic", 59,54, 90.76,104.21,0.33,0.24,0.76,4,18,1,7,22
"vcu-rams-dayton-flyers-201503150157","20150315","away","vcu-rams","Atlantic Ten", 69,71,102.76, 94.07,0.43,0.37,0.62,7,28,4,4,22,"dayton-flyers","Atlantic Ten", 67,65, 96.97,105.92,0.38,0.17,0.78,8,22,11,2,16
